vfdDirAdEc,vfdDiH+AdEc
iko guRavfdDI,ikaH+guRavfdDI
na DAtulopa ArDaDAtuke,na+DAtulope+ArDaDAtuke
gkNiti ca,kkNiti+ca
halo'nantarAH saMyogaH,halaH+anantarAH+saMyogaH
muKanAsikAvacano'nunAsikaH,muKanAsikAvacanaH+anunAsikaH
nAjJalO,n+ajJalO
adaso mAt,adasaH+mAt
nipAta ekAjanAN,nipAtaH+ekAc+anAN
sambudDO SAkalyasyetAvanArze,sambudDO+SAkalyasya+itO+anArze
dADA GvadAp,dADA+Gu+adAp
Adyantavadekasmin,Adyantavat+ekasmin
praTamacaramatayAlpArDakatipayanemASca,praTamacaramatayAlpArDakatipayanemAH+ca
pUrvaparAvaradakziRottarAparADarARi,pUrvaparAvaradakziRottarAparADarARi+vyavasTAyAm+asaMjYAyAm
svamajYAtiDanAKyAyAm,svam+ajYAtiDanAKyAyAm
svarAdinipAtamavyayam,svarAdinipAtam+avyayam
tadDitaScAsarvaviBaktiH,tadDitaH+ca+ca+asarvaviBaktiH
kfnmejantaH,kft+mejantaH
avyayIBAvaSca,avyayIBAvaH+ca
suqanapuMsakasya,suw+anapuMsakasya
na veti viBAzA,na+vA+iti+viBAzA
igyaRaH samprasAraRam,ik+yaRaH+samprasAraRam
midaco'ntyAtparaH,mit+acaH+antyAt+paraH
eca igGrasvAdeSe,ecaH+ik+hrasvAdeSe
sTAne'ntaratamaH,sTAne+antaratamaH
uraR raparaH,uH+aR+raparaH
alo'ntyasya,alaH+antyasya
Nicca,Nit+ca
sTAnivadAdeSo'nalviDO,sTAnivat+AdeSaH+analviDO
dvirvacane'ci,dvirvacane+aci
na lumatA'Ngasya,na+lumatA+aNgasya
aco'ntyAdi wi,acaH+antyAdi+wi
alo'ntyAt pUrva upaDA,alaH+antyAt+pUrvaH+upaDA
tasminniti nirdizwe pUrvasya,tasmin+iti+nirdizwe+pUrvasya
tasmAdityuttarasya,tasmAt+iti+uttarasya
svaM rUpaM SabdasyASabdasaMjYA,svam+rUpam+Sabdasya+aSabdasaMjYA
aRudit savarRasya cApratyayaH,aRudit+savarRasya+ca+apratyayaH
taparastatkAlasya,taparaH+tatkAlasya
Adirantyena sahetA,AdiH+antyena+saha+itA
yena viDistadantasya,yena+viDiH+tadantasya
vfdDiryasyAcAmAdistad vfdDam,vfdDiH+yasya+acAm+AdiH+tat+vfdDam
eN prAcAM deSe,eN+prAcAm+deSe
vija iw,vijaH+iw
viBAzorRoH,viBAzA+UrRoH
sArvaDAtukamapit,sArvaDAtukam+apit
asaMyogAlliw kit,asaMyogAt+liw+kit
rudavidamuzagrahisvapipracCaH sa~Sca,rudavidamuzagrahisvapipracCaH+san+ca
iko Jal,ikaH+Jal
halantAcca,halantAt+ca
uSca,uH+ca
yamo ganDane,yamaH+ganDane
viBAzopayamane,viBAzA+upayamane
mfzastitikzAyAm,mfzaH+titikzAyAm
udupaDAdBAvAdikarmaRoranyatarasyAm,udupaDAt+BAvAdikarmaRoH+anyatarasyAm
nopaDAtTaPAntAdvA,nopaDAt+TaPAntAt+vA
vaYciluYcyftaSca,vaYciluYcyftaH+ca
ralo vyupaDAdDalAdeH saMSca,ralaH+vyupaDAdt+halAdeH+san+ca
UkAlo'jJrasvadIrGaplutaH,UkAlaH+ac+hrasvadIrGaplutaH
acaSca,acaH+ca
uccErudAttaH,uccEH+udAttaH
nIcEranudAttaH,nIcEH+anudAttaH
tasyAdita udAttamarDahrasvam,tasya+AditaH+udAttam+arDahrasvam
yajYakarmaRyajapanyUNKasAmasu,yajYakarmaRi+ayajapanyUNKasAmasu
uccEstarAM vA vazawkAraH,uccEstarAm+vA+vazawkAraH
