SrImadBagavadgItA,SrImat+Bagavat+gItA
praTamo'DyAyaH,praTamaH+aDyAyaH
DftarAzwra uvAca,DftarAzwraH+uvAca
samavetA yuyutsavaH,samavetAH+yuyutsavaH
pARqavAScEva,pARqavAH+ca+eva
kimakurvata,kim+akurvata
saYjaya uvAca,saYjayaH+uvAca
pARqavAnIkaM vyUQaM duryoDanastadA,pARqava+AnIkam+vyUQam+duryoDanaH+tadA
AcAryamupasaNgamya,AcAryam+upasaNgamya
paSyEtAM pARquputrARAmAcArya,paSya+etAm+pARqu+putrARAm+AcArya
mahatIM camUm,mahatIm+camUm
vyUQAM drupadaputreRa,vyUQAm+drupada+putreRa
SUrA mahezvAsA BImArjunasamA yuDi,SUrAH+mahezvAsAH+BIma+arjuna+samAH+yuDi
yuyuDAno virAwaSca,yuyuDAnaH+virAwaH+ca
drupadaSca,drupadaH+ca
mahAraTaH,mahA+raTaH
DfzwaketuScekitAnaH,Dfzwa+ketuH+cekitAnaH
kASirAjaSca,kASi+rAjaH+ca
purujitkuntiBojaSca,puru+jit+kunti+BojaH+ca
SEbyaSca,SEbyaH+ca
narapuNgavaH,nara+puNgavaH
yuDAmanyuSca,yuDA+manyuH+ca
uttamOjASca,uttama+ojAH+ca
sOBadro drOpadeyASca,sOBadraH+drOpadeyAH+ca
asmAkaM tu,asmAkam+tu
tAnniboDa,tAn+niboDa
dvIjottama,dvija+uttama
nAyakA mama,nAyakAH+mama
saYjYArTam tAn bravImi,saYjYA+arTam+tAn+bravImi
BavAnBIzmaSca,BavAn+BIzmaH+ca
karRaSca,karRaH+ca
kfpaSca,kfpaH+ca
samitiYjayaH,samitim+jayaH
vikarRaSca,vikarRaH+ca
sOmadattistaTEva,sOma+dattiH+taTA+eva
SUrA madarTe,SUrAH+mat+arTe
aparyAptaM tadasmAkaM balaM BIzmABirakzitam,aparyAptam+tat+asmAkam+balam+BIzma+aBirakzitam
paryAptaM tvidametezAM balaM BImABirakzitam,paryAptam+tu+idam+etezAm+balam+BIzma
yaTABAgamavasTitAH,yaTA+BAgam+avasTitAH
BIzmamevABirakzantu,BIzmam+eva+aBirakzantu
saYjanayanharzam,saYjajanayat+harzam
siMhanAdaM vinadyoccEH,siMha+nAdam+vinadya+uccEH
SaNKaM daDmO,SaNKam+daDmO
SaNKASca,SaNKAH+ca
BeryaSca,BeryaH+ca
sahasEvAByahanyanta,sahasA+eva+aByahanyanta
sa SabdastumuloBavat,saH+SabdaH+tumulaH+aBavat
SvetErhayEryukte,SvetEH+hayEH+yukte
pARqavaScEva,pARqavaH+ca+eva
pAYcajanyaM hfzIkeSaH,pAYcajanyam+hfzI+keSaH
devadattaM DanaYjayaH,devadattam+Danam+jayaH
pORqraM daDmO,pORqram+daDmO
mahASaNKaM BImakarmA,mahA+SaNKam+BIma+karmA
vfkodaraH,vfka+udaraH
anantavijayaM rAjA,ananta+vijayam+rAjA
kuntiputro yuDizWiraH,kunti+putro+yuDi+sTiraH
sahadevaSca,sahadevaH+ca
kASyaSca,kASyaH+ca
Dfzwadyumno virAwaSca,Dfzwa+dyumnaH+virAwaH+ca
sAtyakiScAparAjitaH,sAtyakiH+ca+aparAjitaH
drupado drOpadeyASca,drupadaH+drOpadeyAH+ca
sOBadraSca,sOBadraH+ca
SaNKAndaDmuH,SaNKAn+daDmuH
sa Gozo DArtarAzwrARAM hfdayAni,saH+GozaH+DArtarAzwrARAm+hfdayAni
vyadArayat,vi+adArayat
naBaSca,naBaH+ca
pfTivIM cEva,pfTivIm+ca+eva
tumulo vyanunAdayan,tumulaH+vi+anunAdayan
vyavasTitAndfzwvA,vyavasTitAn+dfzwvA
DArtarAzwrAnkapiDvajaH,DArtarAzwrAn+kapi+DvajaH
Danurudyamya,DanuH+udyamya
hfzIkeSaM tadA,hfzI+keSam+tadA
vAkyamidamAha,vAkyam+idam+Aha
senayoruBayormaDye,senayoH+uBayoH+maDye
raTaM sTApaya,raTam+sTApaya
me'cyuta,me+acyuta
yAvadetAn,yAvat+etAn
nirIkzehaM yodDukmAnavasTitAn,nirIkze+aham+yodDum+kAmAn+avasTitAn
kErmayA,kEH+mayA
yodDavyamasminraRasamudyame,yodDavyam+asmin+raRa+samudyame
yotsyamAnanavekze'haM ya ete'tra,#NAME?
saYjaya uvAca,saYjayaH+uvAca
evamukto hfzIkeSo guqAkeSena,evam+uktaH+hfzI+keSaH+guqA+keSena
senayoruBayormaDye,senayoH+uBayoH+maDye
raTottamam,raTa+uttamam
sarvezAM ca,sarvezAm+ca
paSyEtAnsamavetAnkurUniti,paSya+etAn+samavetAn+kurUn+iti
tatrApaSyatsTitAnpArTaH,tatra+apaSyat+sTitAn+pArTaH
pitFnaTa,pitFn+aTa
