vicCeda,vi+Ceda
AcCAdayati,A+CAdayati
cecCidyate,ce+Cidyate
aByudaya,aBi+udaya
anvayaH,anu+ayaH
kartrI,kartf+I
nayanam,ne+anam
Bavanam,Bo+anam
nAyakaH,nE+akaH
pAvakaH,pO+akaH
mARqavyaH,mARqo+yaH
gavyam,go+yam
nAvyam,nO+yam
lavyam,lo+yam
BAvyam,BO+yam
jayya,je+ya
kzayya,kze+ya
krayya,kre+ya
Bayya,Be+ya
prekzaRam,pra+IkzaRam
protsAhaH,pra+utsAhaH
upEti,upa+eti
upEDate,upa+eDate
prOQaH,pra+UQaH
prEzaH,pra+ezaH
bahuSreyasyE,bahuSreyasyI+Aw+Ne
upArcCati,upa+fcCati
prArcCati,pra+fcCati
gAH,go+as
gAm,go+am
prejate,pra+ejate
upozati,upa+ozati
kom,kA+om
SivAyom,SivAya+om
kadoQA,kadA+oQA
adyarSyAt,adya+arSyAt
ayuH,ayA+us
CindyuH,CindyA+us
pace,paca+e
pacanti,paca+anti
Gawiti,Gawat+iti
Jawiti,Jawat+iti
pawatpawaditi,pawatpawat+iti
pawatpaweti,pawatpawat+iti
pawatpawA,pawatpawat+A
upAcAryaH,upa+AcAryaH
upendraH,upa+indraH
agnI,agni+O
vAyU,vAyu+O
vfkzAH,vfkza+as
vfkzO,vfkza+O
kumAryO,kumArI+O
upanAhyO,upanAhI+O
vfkzam,vfkza+am
gfhIta,graha+ita
agneH,agne+as
saKyuH,saKi+as
dyukAmaH,div+kAmaH
sya te,syaH+te
samaskarot,sam+akarot
parizkartA,pari+kartA
parizkftam,pari+kftam
upaskftam,upa+kftam
upaskAram,upa+kAram
pratiskIrRam,prati+kIrRam
apaskirate,ap+kirate
aparasparAH,apara+parAH
Aspada,A+pada
AScarya,A+carya
avaskaraH,ava+karaH
apaskaraH,apa+karaH
vizkaraH,vi+karaH
pratizkaSaH,prati+kaSaH
maskara,ma+kara
sa~skarttA,sam+karttA
saMskarttA,sam+karttA
sa~sskarttA,sam+skartA
saMsskarttA,sam+skartA
pu~skAmA,pum+kAmA
puMskAmA,pum+kAmA
lIQaH,liQ+QaH
payaHsu,payar+su
payAMsi,payAn+si
samrAw,sam+rAw
prANk Sete,prAN+Sete
santsaH,san+saH
kaskaH,kaH+kaH
jalAzAw,jalA+sAw
